top - 13:24:59 up  1:17,  1 user,  load average: 0.96, 0.68, 0.85
Tasks: 357 total,   1 running, 356 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.3 us,  2.6 sy,  0.0 ni, 96.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15907.9 total,   6410.3 free,   5448.5 used,   4049.0 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   9372.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1787 rtkit     21   1  152940   3000   2764 S   0.0   0.0   0:00.07 rtkit-d+
   1924 root      20   0  252700  10108   8656 S   0.0   0.1   0:00.83 upowerd
   2222 colord    20   0  246716  15128   9756 S   0.0   0.1   0:00.27 colord
   2329 whoopsie  20   0  326872  15732  13808 S   0.0   0.1   0:00.08 whoopsie
   2334 kernoops  20   0   11264    448      0 S   0.0   0.0   0:00.27 kernelo+
   2336 kernoops  20   0   11264    444      0 S   0.0   0.0   0:00.28 kernelo+
   2376 jenkins   20   0   19144  10244   8060 S   0.0   0.1   0:00.25 systemd
   2377 jenkins   20   0  169436   3920     12 S   0.0   0.0   0:00.00 (sd-pam)
   2382 jenkins   20   0  280724  14404  12552 S   0.0   0.1   0:00.07 pulseau+
   2384 jenkins   39  19  659336  24928  16680 S   0.0   0.2   0:00.23 tracker+
   2388 jenkins   20   0    7388   4440   3900 S   0.0   0.0   0:00.03 dbus-da+
   2393 jenkins   20   0    8884    168     12 S   0.0   0.0   0:00.00 daemon
   2395 jenkins   20   0 9797.4m 601664  30716 S   0.0   3.7   0:49.04 java
   2408 jenkins   20   0  240056   7724   6876 S   0.0   0.0   0:00.01 gvfsd
   2414 jenkins   20   0  312808   6528   5880 S   0.0   0.0   0:00.00 gvfsd-f+
   2420 jenkins   20   0  314536  10356   7948 S   0.0   0.1   0:01.04 gvfs-ud+
   2443 jenkins   20   0  236044   6380   5772 S   0.0   0.0   0:00.00 gvfs-mt+
   2447 jenkins   20   0  317064   9000   7996 S   0.0   0.1   0:00.19 gvfs-af+
   2452 jenkins   20   0  238320   6480   5764 S   0.0   0.0   0:00.02 gvfs-gp+
   2458 jenkins   20   0  236216   6292   5780 S   0.0   0.0   0:00.00 gvfs-go+
   2459 root      20   0  167544   9836   8212 S   0.0   0.1   0:00.02 gdm-ses+
   2463 jenkins   20   0  545380  36320  30452 S   0.0   0.2   0:00.06 goa-dae+
   2472 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   2479 jenkins   20   0  315096   9196   8156 S   0.0   0.1   0:00.19 goa-ide+
   2525 sh        20   0   19720  11024   8096 S   0.0   0.1   0:00.89 systemd
   2526 sh        20   0  169456   3940     12 S   0.0   0.0   0:00.00 (sd-pam)
   2531 sh         9 -11 2532076  20424  15440 S   0.0   0.1   3:37.50 pulseau+
   2533 sh        39  19  585748  25020  16476 S   0.0   0.2   0:00.17 tracker+
   2536 sh        20   0    9900   7076   3860 S   0.0   0.0   0:00.94 dbus-da+
   2552 sh        20   0  240056   7768   6820 S   0.0   0.0   0:00.03 gvfsd
   2557 sh        20   0  378344   6500   5844 S   0.0   0.0   0:00.00 gvfsd-f+
   2559 sh        20   0  240648   7472   6472 S   0.0   0.0   0:00.17 gnome-k+
   2567 sh        20   0  314552  10100   7704 S   0.0   0.1   0:01.05 gvfs-ud+
